6
 num     #instances         #bytes  class name
 383:             5            280  io.netty.channel.DefaultChannelHandlerContext
 384:             7            280  java.beans.GenericBeanInfo
 385:            17            272  io.netty.channel.$Proxy3
 386:             2            272  io.netty.util.internal.InternalThreadLocalMap
 387:            17            272  java.util.LinkedHashSet
 388:             5            264  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State;
 389:            11            264  com.intellij.util.io.ReadWriteDirectBufferWrapper$FileContext$1
 390:            11            264  java.io.StringWriter
 391:            11            264  java.lang.Class$1
 392:            11            264  java.net.StandardSocketOptions$StdSocketOption
 393:            11            264  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 394:            11            264  java.util.regex.Pattern$Start
 395:            11            264  org.jdom.AttributeType
 396:            11            264  sun.security.action.GetPropertyAction
 397:             8            256  [Lcom.sun.org.apache.xerces.internal.impl.XMLEntityManager$CharacterBuffer;
 398:             8            256  com.intellij.util.containers.UnsafeWeakList$MyReference
 399:             4            256  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile
 400:             8            256  com.intellij.util.io.UnsyncByteArrayInputStream
 401:             8            256  com.intellij.util.xmlb.BeanBinding
 402:             4            256  com.sun.org.apache.xerces.internal.impl.XMLEntityScanner
 403:             4            256  com.sun.org.apache.xerces.internal.impl.XMLStreamReaderImpl
 404:             4            256  io.netty.util.Recycler$Stack
 405:            16            256  java.lang.ThreadLocal
 406:            16            256  java.net.URLClassLoader$3$1
 407:             8            256  java.nio.file.attribute.FileTime
 408:             8            256  java.util.LinkedHashMap$LinkedKeyIterator
 409:             8            256  java.util.RegularEnumSet
 410:             8            256  java.util.regex.Pattern$Branch
 411:             8            256  org.apache.log4j.helpers.PatternParser$BasicPatternConverter
 412:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 413:            10            240  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property;
 414:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 415:            13            240  [Lsun.reflect.generics.tree.ClassTypeSignature;
 416:            10            240  com.google.protobuf.GeneratedMessageLite$MethodToInvoke
 417:            10            240  com.intellij.serialization.PropertyCollector$NameAndIsSetter
 418:            10            240  com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType
 419:            10            240  java.nio.file.StandardOpenOption
 420:             5            240  java.util.concurrent.LinkedBlockingQueue
 421:            10            240  java.util.regex.Pattern$Slice
 422:             4            224  [Ljava.util.Map;
 423:             4            224  com.sun.org.apache.xerces.internal.util.XMLAttributesIteratorImpl
 424:             7            224  java.net.InetAddress$InetAddressHolder
 425:             7            224  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater
 426:             7            224  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 427:             9            216  [Ljava.util.Enumeration;
 428:             8            216  [Ljava.util.regex.Pattern$Node;
 429:             9            216  com.intellij.util.io.IntToIntBtree$BtreeRootNode
 430:             9            216  com.intellij.util.io.PersistentEnumeratorBase$Version
 431:             9            216  java.net.URLClassLoader$3
 432:             9            216  java.util.logging.Level$KnownLevel
 433:             3            216  java.util.logging.Logger
 434:             9            216  sun.misc.CompoundEnumeration
 435:             9            216  sun.reflect.generics.tree.FormalTypeParameter
 436:             9            216  sun.util.logging.PlatformLogger$Level
 437:             7            208  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 438:            13            208  java.io.FilePermission$1
 439:            13            208  java.util.HashMap$EntrySet
 440:             5            200  com.intellij.util.xmlb.OptionTagBinding
 441:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 442:             5            200  java.util.EnumMap
 443:             5            200  java.util.Spliterators$IteratorSpliterator
 444:             5            200  java.util.stream.StreamOpFlag
 445:             8            192  com.intellij.diagnostic.LoadingState
 446:             8            192  com.intellij.openapi.util.LowMemoryWatcher
 447:             8            192  com.intellij.util.io.PersistentHashMap$2
 448:             8            192  com.intellij.util.io.PersistentHashMapValueStorage$CreationTimeOptions
 449:             4            192  com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$ElementStack
 450:             4            192  com.sun.xml.internal.stream.StaxErrorReporter
 451:             6            192  io.netty.buffer.PoolThreadCache$NormalMemoryRegionCache
 452:             6            192  java.io.ByteArrayInputStream
 453:             6            192  java.lang.invoke.DirectMethodHandle$Special
 454:             6            192  java.lang.invoke.LambdaForm$BasicType
 455:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 456:             4            192  java.util.Hashtable$Enumerator
 457:             6            192  java.util.TreeMap$EntryIterator
 458:             6            192  java.util.jar.Manifest$FastInputStream
 459:             6            192  java.util.stream.Collectors$CollectorImpl
 460:             6            192  java.util.stream.ReduceOps$3
 461:             6            192  java.util.stream.ReduceOps$3ReducingSink
 462:             8            192  org.jetbrains.jps.incremental.BuilderCategory
 463:             8            192  org.jetbrains.jps.incremental.ResourcesTarget
 464:             8            192  org.jetbrains.jps.incremental.fs.FilesDelta
 465:             4            192  sun.misc.URLClassPath
 466:             3            192  sun.nio.cs.ext.DoubleByte$Encoder
 467:             6            176  [Ljdk.internal.org.objectweb.asm.Type;
 468:            11            176  com.intellij.util.io.ReadWriteDirectBufferWrapper$FileContext
 469:            11            176  com.sun.proxy.$Proxy7
 470:            11            176  java.util.Collections$UnmodifiableSet
 471:             7            168  java.net.Inet4Address
 472:             7            168  java.net.InetSocketAddress$InetSocketAddressHolder
 473:             7            168  java.net.NetPermission
 474:             7            168  java.util.Collections$SetFromMap
 475:             7            168  java.util.regex.Pattern$Ctype
 476:             7            168  org.jdom.Content$CType
 477:             7            168  sun.net.www.protocol.jar.JarURLConnection$JarURLInputStream
 478:             2            160  [Lcom.intellij.util.containers.SLRUMap;
 479:             4            160  [[S
 480:             5            160  com.intellij.serialization.PropertyAccessor
 481:             4            160  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile$MyBufferedIS
 482:             4            160  com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$ElementStack2
 483:             4            160  com.sun.org.apache.xerces.internal.impl.XMLEntityManager$CharacterBufferPool
 484:             4            160  com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDDescription
 485:             4            160  com.sun.org.apache.xerces.internal.util.SymbolTable
 486:             4            160  com.sun.org.apache.xerces.internal.utils.XMLLimitAnalyzer
 487:             4            160  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager
 488:             4            160  com.sun.xml.internal.stream.XMLEntityStorage
 489:             4            160  io.netty.util.internal.ObjectPool$RecyclerObjectPool$1
 490:             4            160  java.lang.ClassLoader$NativeLibrary
